[00:00:02] ちょっと時間早いですけど皆さん揃いまし
[00:00:04] たので始めたいと思います今日もお
[00:00:09] 忙しい中お集まりいただきありがとう
[00:00:10] ございますサロマ
[00:00:12] 湖の調査担当者の
[00:00:14] 緊急打ち合わせということで
[00:00:16] 進めたいと思いますで今ちょうど気温も
[00:00:21] 高く水温もどんどん高くなってきているの
[00:00:23] でなかなかの作業には
[00:00:28] 厳しい状況が続いてますのでその状況の
[00:00:31] 確認とあと注意点みたいなのをちょっと
[00:00:35] 共有できればいいなと思いましてお集まり
[00:00:38] いただきましたで
[00:00:41] この今日のやつを今ビデオを撮ってまして
[00:00:45] で後で
[00:00:48] 養殖組合のホームページに流したいと思い
[00:00:51] ますのでその時
[00:00:54] 皆さんにそのクエンサーも含めて見て
[00:00:57] もらえたらなと思っております
[00:01:01] じゃあ早速行きます今日の
[00:01:05] 議題としては
[00:01:06] サロマ湖の
[00:01:08] 炊飯状況についてということとあとは高温
[00:01:13] 退所の方法についてということを考えて
[00:01:15] ます
[00:01:17] まず最初にサロマ湖の水温状況について
[00:01:20] ですけども
[00:01:22] 洋食組合のホームページ
[00:01:28] が洋食組合のホームページを見てもらうと
[00:01:35] 現在
[00:01:37] [音楽]
[00:01:38] ちょうど
[00:01:40] 9時のデータまだちょっと10時になって
[00:01:43] ないのデータで
[00:01:48] ここ
[00:01:49] 優劣青い枠線のやつが
[00:01:53] 水温で黒い枠線のやつが気温だとか風邪
[00:01:58] ですでこれが優別の賛否でこれがトップし
[00:02:03] そして
[00:02:05] 赤川と黒岩とそして中央区ということで
[00:02:10] 軒並み23度以上になって赤い表示になっ
[00:02:14] てますで3については22.3ということ
[00:02:17] で多分外海のに近いということで外海の
[00:02:22] 影響で
[00:02:24] そんなに高くはなっていないんですけれど
[00:02:26] もそれぞれの場所をクリックしてやると
[00:02:29] 例えば優別これはホームページパソコン用
[00:02:35] のページなのでこういうの出ますけど表面
[00:02:38] が
[00:02:39] 22度を超えてますよということなんです
[00:02:43] けども中層ももう21度を超えてでそこの
[00:02:49] 方は19度18°cだったということで
[00:02:55] 中層までだいぶ暖かくなっているという
[00:02:58] こと
[00:02:59] です例えば他の真ん中辺のやつを見てみる
[00:03:03] と
[00:03:05] 表面は
[00:03:07] 24度25度近いんですけども
[00:03:11] 4mでは
[00:03:13] 20度ちょっとということでここはもう
[00:03:17] 水深16m
[00:03:21] 16mのところですのでそこから2m
[00:03:24] ぐらい上がって14年水深14mぐらいだ
[00:03:27] と
[00:03:29] 16度ちょっとぐらいになっているという
[00:03:32] ことがわかると思います
[00:03:35] ので
[00:03:36] こういった水温の状況を確認してください
[00:03:41] あと気温はもう朝の9時段階6時過ぎです
[00:03:47] けども10時前で
[00:03:50] 31.5°cにもなっていますで夕べの方
[00:03:54] も29.7°cに迫るような気温になって
[00:03:56] ますということでかなり
[00:03:59] 熱い状況が続いてます
[00:04:03] 続いて
[00:04:04] オホーツク海の水温なんですがこれも
[00:04:10] 一例なんですけどマリンアイっていう
[00:04:13] ホームページがありましてその中で
[00:04:18] 訪問
[00:04:22] 行ってみますと
[00:04:25] 9時の
[00:04:27] 水温表面で
[00:04:30] 21.44度で7mで
[00:04:34] 20.7915mで20.8で25mで
[00:04:39] 20.13ということで
[00:04:41] ちょっとここ25m水深のところなので
[00:04:44] ちょっとだけ送ってにはあるとは思うん
[00:04:47] ですけど
[00:04:48] 沿岸皿の方に入ってくる水っていうのは
[00:04:50] これよりもうちょっとあったかくても
[00:04:52] おかしくないなということで
[00:04:54] 3億円入ってくる水はもう表面の
[00:04:58] 21度22度ぐらいの水温がの水が入って
[00:05:02] きているということになるかと思いますな
[00:05:05] のでそれよりは下がらないという風に考え
[00:05:10] てもらってもいいかと
[00:05:12] 思って他のところについては結構データが
[00:05:16] 取れてないところもあるんですけど
[00:05:19] 網走置きはまだ大丈夫かなで
[00:05:23] 網走料金でも21.5度
[00:05:25] 表面21.5°cですのでオウムから網走
[00:05:29] の方まで同じような水温が続いているんで
[00:05:33] はないかなというふうに思い
[00:05:37] 続いて今後の天気予報なんですけど気象庁
[00:05:43] のホームページに飛ぶと
[00:05:47] これは優劣の予報ですで
[00:05:54] 湧別今日は予想最高気温30°cもうでも
[00:05:59] すでに30度近くなってますがで明日も
[00:06:02] 30度で月曜日29
[00:06:06] 火曜日28
[00:06:07] 水曜日31
[00:06:11] 木曜日28の金曜日になる26度という
[00:06:15] ことなんですが
[00:06:16] 最高気温だけではなくやはり最低気温を
[00:06:21] もっと確認しとかないといけないのかなと
[00:06:23] 思ってますっていうのもサロンは水を
[00:06:27] 冷やす原動力って言ったらやっぱり気温の
[00:06:30] 最低気温なのでこの
[00:06:35] 222322232222と最低気温が
[00:06:38] こんだけ続くってことはこれより水温が
[00:06:42] 下がらないということを意味しますので
[00:06:46] [音楽]
[00:06:47] 水温を下げる要素っていうのはここ1週間
[00:06:51] かなり少ないということでやっぱり
[00:06:55] 放水温状態がずっとしばらく続くだろうと
[00:06:57] いう風に考えます
[00:07:03] で続きまして気温についての注意点今言っ
[00:07:07] たように気温が
[00:07:10] 上がる前に作業を中止をしましょうという
[00:07:14] ことになると思います
[00:07:18] 22度と言っても夜中になればそれぐらい
[00:07:22] 気温下がってくるのでやはり気温が
[00:07:26] 低いうちに作業をやってしまうで水温は
[00:07:30] その最低気温以下にはならないだろうと
[00:07:33] いうふうに考えられますでだいたいでも
[00:07:38] やっぱり水温は20度以上になっているの
[00:07:41] でなかなか冷える要素は少ないなという
[00:07:45] こととあと最高気温だけではなく最低気温
[00:07:49] にも注意が必要ですということになるかと
[00:07:51] 思います
[00:07:53] 続いてホタテの活力についてですがこれは
[00:07:57] 本当に
[00:07:58] イメージ図ですのでこれがこの
[00:08:02] 温度をバッチリそれが当てはまるという
[00:08:04] わけではないんですけども
[00:08:07] 縦軸に
[00:08:09] 活性状態で横軸に
[00:08:12] 水温の状況ということで水温が上がれば
[00:08:16] だんだん達成は落ちてきますよっていう
[00:08:19] イメージですで違いと2年前3年街を
[00:08:24] 比べると
[00:08:25] 比較的違いの方が
[00:08:28] 高温には
[00:08:30] 耐えられやすい
[00:08:31] 耐えやすいということになるかと思うん
[00:08:33] ですけども
[00:08:35] とはいえやはり水温が20度以上になって
[00:08:40] くるとホタテ自体はもうストレスを抱える
[00:08:43] ということになりますので
[00:08:46] 本来ならば20度以上になるのをできる
[00:08:51] だけ避けたいところですけどもこの水温
[00:08:53] 状況ことになるとなかなか難しいという
[00:08:56] ことになるかと思います特に2年が3年
[00:09:00] ぐらいになると22度以上になると
[00:09:03] 成長がもう止まってしまって23度近く
[00:09:06] なるとだんだん弱ってきますよと
[00:09:10] 過去の
[00:09:11] 経験からすると水温が22度以上が1週間
[00:09:15] 以上続くと
[00:09:17] このホタテ自体がかなり成長だったりに
[00:09:22] 影響が出てくるよというのがわかっており
[00:09:24] ますので
[00:09:25] こういった形でいくと
[00:09:29] 基本は2003年から22度以上はあまり
[00:09:33] 触らない方がストレスをかけない方がいい
[00:09:35] だろうということになるかと思います
[00:09:41] で作業中の高温の対策法と対処法という
[00:09:46] ことになると思うんですけど
[00:09:48] エアレーションをすると作業中の水温を
[00:09:51] 気温に近づけてしまいということになると
[00:09:54] 思います
[00:09:56] 空気を送ってやることによってその空気の
[00:10:00] 温度を水に伝えるのでやっぱりどんどん
[00:10:04] 水温が上がってくるだろうとこれはまあ
[00:10:07] 例えばコンプレッサーで
[00:10:09] 圧力をかけるとさらに
[00:10:11] 温度が上がる場合もありますのでそういっ
[00:10:14] たのは12日でした必要かなと思いますで
[00:10:18] そういった意味では水温を常に確認を
[00:10:22] するっていうことが必要になってきます
[00:10:24] 個人でもやっぱり水温計っていうのを
[00:10:29] 準備して
[00:10:30] この水温も
[00:10:33] 常に確認をしておく必要があるかと思い
[00:10:35] ます
[00:10:36] 空中露出はさせないということで空中露出
[00:10:40] するとどんどんどんどん気温に
[00:10:44] 近づいていっちゃいますので気温が高い
[00:10:47] 状態で
[00:10:50] 露出していると
[00:10:51] どんどん
[00:10:53] 25度ぐらいになってもその回自体は
[00:10:56] 25度になってしまうので気をつけないと
[00:10:58] いけないという
[00:11:00] あと1回に上げてくる量をできるだけ
[00:11:03] 少なくすると
[00:11:05] 短時間で海に戻すように努力をするという
[00:11:08] ことになるかと思います
[00:11:11] 前回上げた違いが残らないように全部開け
[00:11:16] てから次の作業をするというのがちょっと
[00:11:20] 盲点と言いますか違いだけではないんです
[00:11:22] けどもいろんな作業に関わってくると思い
[00:11:25] ます
[00:11:27] 違いを貯めておく時の時の注意っていう
[00:11:30] ことになるんですがこれ
[00:11:32] タライだと思ってもらってでこの後前の
[00:11:37] 段階で再
[00:11:40] 病院から
[00:11:41] 掘って
[00:11:42] かけて1回ここに溜めておいてで今度
[00:11:49] 座布団カゴに入れるという作業の中間部分
[00:11:52] だと思っていただいていいんですまずそれ
[00:11:55] にかけた違いをこの中に入れるとそうする
[00:11:58] とここに
[00:12:00] オレンジのつぶつぶが違いだと思って
[00:12:02] もらってその違いがここに残りますこれを
[00:12:07] 全部取り出してカゴに入れるということが
[00:12:10] 必要なんですけれども
[00:12:18] [音楽]
[00:12:19] 入れますそしてその
[00:12:23] 一部だけを取り出してカゴにどんどん
[00:12:27] どんどん入れていくとそうすると
[00:12:33] 次また違いを入れると思うんですけども
[00:12:37] この次から入ってきたやつの前にまだ
[00:12:41] 古い違いがここに残ってる状態になります
[00:12:46] そうなると長時間この中に
[00:12:50] 滞留することになって
[00:12:52] 兵士の原因になったりあるいは
[00:12:55] マンドで決まって取ったと思ってもこいつ
[00:13:00] らが生きが弱ってる分あとで死んじゃって
[00:13:06] 必要数とったと思ってたら実はこいつらが
[00:13:10] 死んで見込み違いになってしまうという
[00:13:12] こともありますので気をつけてほしいなと
[00:13:16] 思ってますでこれは違いだけじゃなくて
[00:13:19] 例えば
[00:13:20] 耳釣りの会なんかも作業台に上に上げて
[00:13:26] 耳釣りの穴そして作業している最中に
[00:13:29] 少なくなってきたなと思って
[00:13:31] 追加で違う足すとそうなった時に
[00:13:36] 古いやつをしっかり使ってくれればいいん
[00:13:38] ですけどそういう指導をしてすればいいん
[00:13:42] ですけども
[00:13:43] 新しく来たやつから順番に入れてきちゃう
[00:13:45] と
[00:13:47] 途中露出の時間が非常に長くなってしまう
[00:13:49] ということがあって後で精神原因になると
[00:13:51] いうこともありますのでそれも注意が必要
[00:13:55] かなと
[00:13:58] 思って
[00:13:59] 置き作業の高温対処方法としては今の
[00:14:03] ところ降水
[00:14:05] 温は表面だけということでこれは
[00:14:11] 27日の時のデータなんですけども
[00:14:16] V5ということで中央部分ですね一番深い
[00:14:19] ところですが
[00:14:22] 表面から2.5mまでは22度以上の降水
[00:14:27] 温そして水深15.5mより深いところで
[00:14:31] は5mgリップル以下の
[00:14:35] 低酸素になってます
[00:14:39] [音楽]
[00:14:42] 船の上で作業する場合はここで行くともう
[00:14:46] 推進3Mというより深いところから水を
[00:14:50] 取らないと
[00:14:51] 作業している水が熱くなってしまいますよ
[00:14:54] ということ
[00:14:56] ですでこれ今の図をちょっと横長にしたん
[00:14:58] ですけどもこれをですねちょっと
[00:15:01] 船だと思ってくださいでここは水面なので
[00:15:05] 表面に浮かんでますで
[00:15:10] 船の
[00:15:11] 散水ポンプを使うとこのこの辺から多分
[00:15:15] 選定から水を取ることになるので
[00:15:18] 熱い水を使ってしまうことになります
[00:15:21] なのでこの
[00:15:25] 船から水を取る用のポンプを取水口を
[00:15:32] この2.5mより深いところにしないと
[00:15:35] いけない
[00:15:36] この状態であれば
[00:15:39] 安全を見て4mの水を使えばOKだろうと
[00:15:44] いうことになります当然深くなれば深く
[00:15:47] なるほど水温は下がるんですが
[00:15:52] ここ
[00:15:54] 水深15.5mより深いところで
[00:15:58] 水を取ると今度は水温は非常に
[00:16:03] 低いんですが
[00:16:05] 低酸素の水の吸い上げるようなことになり
[00:16:07] ます
[00:16:09] 酸素を測るのは非常に難しいんですが
[00:16:13] 卵が腐ったような臭いをしますこの場合の
[00:16:17] 酸素が少ない状態の時には
[00:16:20] 還元状態と言って下の方から
[00:16:24] 栄養分がどんどんどんどん出てくるんです
[00:16:25] けどもその時に
[00:16:27] [音楽]
[00:16:29] 卵臭くような匂いはしますなのでもし
[00:16:33] 今はこの深いところだけしか生産数になっ
[00:16:38] ていないんですけれども
[00:16:40] 水を汲んでいる最中に
[00:16:43] 卵を使った匂いがするという時はもう
[00:16:46] ちょっと上げて水を汲むというようなこと
[00:16:49] をしてください
[00:16:52] その他の対処方法としてはやっぱり
[00:16:55] 涼しい時間帯に作業を行うということに
[00:16:58] なるかと思いますでもし
[00:17:03] 待てるんであれば無理に触らないと
[00:17:06] 青森の方の報告によりますと
[00:17:10] 違いが心配まあ間違いだけじゃないんです
[00:17:13] けど
[00:17:14] 貝が心配で見に行ったと見に行ったらその
[00:17:17] 見に行った回だけが死んでたのかなという
[00:17:22] ことで
[00:17:23] できるだけストレスを与えないようにする
[00:17:27] というのがポイントになるかと思います
[00:17:30] で
[00:17:31] 焼酎のペットボトルに水を入れて
[00:17:34] 凍らせたものを水槽に入れているという人
[00:17:37] を去年ちょっと
[00:17:39] 見ましたそれも一つの手かなと思います
[00:17:43] 交流を直接入れると塩分が薄くなって
[00:17:45] しまいますのでそういった作業のやり方も
