[00:00:01] 香水対策調査担当者打ち合わせということ
[00:00:04] で、え、よろしくお願いいたします。え、
[00:00:07] まずですね、ちょっと私の方から、え、
[00:00:10] サモの水温ということで、え、今、あの、
[00:00:14] 直近までの水温状況についてです。え、
[00:00:18] これ、あの、水深、え、3m。ま、あの、
[00:00:22] 最近直近のやつは、あの、Vのデータを
[00:00:25] 使ってますけども、え、平年の水温に対し
[00:00:29] て、ま、若干高いという状況です。え、
[00:00:33] これは、ま、あの、中層の水温なので、え
[00:00:37] 、先日、え、水温、あの、表面の水温が
[00:00:40] 23°を超える時もありました。ただこの
[00:00:44] 23日で、え、風が吹いて、ま、あの、え
[00:00:47] 、表層も水温が下がってます。で、中層に
[00:00:52] ついてはまだ、あ、極端な香水温という
[00:00:55] わけではないですけども、これから、あ、
[00:00:57] どんどん水温が上がることが予想されます
[00:01:00] 。で、え、これは、あ、今日の、え、7月
[00:01:05] 17日の、え、11時のVの数字とあとは
[00:01:10] 気温です。え、ところの雨の気温が34°
[00:01:16] で、え、一方、ま、有別の方は26°と
[00:01:19] いうことで、ま、有別の方が、あ、
[00:01:22] 涼しかったということです。ただ、あ、こ
[00:01:26] 、あの、え、風が、ま、南、南風吹いて、
[00:01:30] え、表層の水温は、ま、20°から21°
[00:01:35] ぐらいで、ま、なんとか持ってます。
[00:01:39] で、え、外海の水温っていうのを、ま、
[00:01:42] あの、すぐに知りたいなとは思うんです
[00:01:44] けれども、え、サラ箱湖の昨にはちょっと
[00:01:47] 水温の部位がないので、え、他のところの
[00:01:51] 、ま、水温を参考に、え、するしかないん
[00:01:54] ですけども、え、これはあのマリンアイと
[00:01:56] いう、え、ホームページ、ま、あの、え、
[00:02:00] 会社で、え、測定しているう、外会の水温
[00:02:06] が、あの、え、公開されので、え、マリン
[00:02:10] アイであの検索をかけてもらったら、あ、
[00:02:14] この水温の状況が見れると思います。で、
[00:02:18] え、この沖置沖きの水温今日の、え、10
[00:02:22] 時の段階で、え、表面で18°、ま、下の
[00:02:26] 方で17.8
[00:02:28] 、え、17.6°っていうことで、え、
[00:02:31] 外界の水温も18°を超えてきているよう
[00:02:34] な状況です。
[00:02:37] で、これがあ、え、気象庁が発表、あのの
[00:02:42] ホームページに載っている、え、海水面の
[00:02:45] 海面の水温状況です。で、7月16日の
[00:02:50] 状況なんですけども、え、これはあの平年
[00:02:52] に比べて、え、どれぐらいの、え、水温が
[00:02:56] 高いかあるいは低いかというのを、え、
[00:02:59] 示してますけども、えっと、もう北海道の
[00:03:03] 周り全域が真っ赤で、え、ここではですね
[00:03:07] 、え、平え、平年より3度高いというよう
[00:03:11] な、あ、状況です。
[00:03:16] ということで、え、今日はですね、え、
[00:03:19] このサラモ目の水温どんどん高くなってき
[00:03:21] てる状況、これからもまたさらに上がって
[00:03:24] くると予想される状況で、え、指導者の方
[00:03:27] に、え、多の香水温対策について、え、
[00:03:31] 紹介していただきまして、え、その後、え
[00:03:34] 、養殖組合から、あの、え、今年からあの
[00:03:39] 気温等も含めた、あ、予測、気温の予測の
[00:03:43] 含めた、あ、センター代
[00:03:46] を出しますので、え、その、ま、内容のについて、え、解説していきたいと思います。ということで、あの、の方、すいません、よろしくお願いいたします。
[00:03:59] それでは先ます。
[00:04:22] はい。え、セ指のまです。どうぞよろしく
[00:04:27] お願いします。
[00:04:30] [笑い]
[00:04:31] いや、
[00:04:33] えっと、私なんでありますけれども、この
[00:04:36] 全日はですね、思い内の書にいたという
[00:04:39] ことで、こう事で例、え、お話ししていき
[00:04:42] たいと思います。で、本日の資料もですね
[00:04:45] 、え、日本海の方では令和5年、そして昨
[00:04:48] 年度令和7年度、え、香水に回れまして、
[00:04:53] こその水が40mのところでも、え、1時
[00:04:56] 24°というような状況にもなりました。
[00:04:59] ということで、令和5年の時に、え、
[00:05:02] 向こうの内の小音者と協議会という組織の
[00:05:06] 中での公水に注意換期かかる目的で、え、
[00:05:11] 作った資料がございまして、え、今回の
[00:05:13] 資料はそれをにあの
[00:05:16] 文字した次第でございます。で、え、
[00:05:19] こちら1枚目の資料から、あ、説明させて
[00:05:22] いただきたいと思います。え、こちらは
[00:05:25] ですね、え、青森県、え、産業技術
[00:05:29] センターの、え、水産総合研究所という
[00:05:32] ことがあるんですけれども、そちらで出し
[00:05:34] ている、え、ホのコ水用にか、え、コ用4
[00:05:39] がホに与える影響といった仕様を改善した
[00:05:42] ものでございます。で、上の図なんです
[00:05:45] けれども、これは違、あの、ホタの年齢別
[00:05:49] の、え、水、各水における、え、その変化
[00:05:54] の状況をですね、示した図となっており
[00:05:56] ます。で、水温が高くなっていくに従って
[00:05:59] 、え、成長が停止しで衰弱で最後には、え
[00:06:03] 、死んでしまうという流れになっており
[00:06:06] ます。で、この上見ていきますと、え、
[00:06:09] 違いはですね、その世外よりも、え、成長
[00:06:12] のど化だとか停止というのは、え、遅い
[00:06:15] 状況が見えまして、ま、世外に比べると
[00:06:18] 違えば高水用体制があるのかなという風に
[00:06:20] も見えますが、いずれにしましても、え、
[00:06:24] 25°を超えると、え、終わってしまうと
[00:06:26] 、え、27°になると休止するという風に
[00:06:29] 、え、構成になるとやはりどれも影響は
[00:06:33] 大きく受けるという風に思います。ただ
[00:06:37] こちらはですね、あの水槽における試験に
[00:06:41] なっておりまして、その小手が受けてる
[00:06:44] ストレスっていうのは高水用のストレス
[00:06:46] しかありません。これ実際現場では、え、
[00:06:49] これ以外に海分作業などでストレスも
[00:06:52] 受けるわけですから、実際これよりも、え
[00:06:55] 、水が低い状況で、え、兵士っていうのは
[00:06:58] 可能性はあるんじゃないかという風に思い
[00:07:00] ます。また、あの、三碗の小たは、え、
[00:07:04] 北海道、ま、噴火などなんて比較しますと
[00:07:07] 、え、高水温体制が強く低数用に弱いと
[00:07:10] いった試験結果も出ていますので、え、に
[00:07:14] この図だけを使用して、ま、まだ24度だ
[00:07:17] から大丈夫だろうっていうような考えは
[00:07:20] 危険かと思います。この辺注意願いたいと
[00:07:23] 思います。で、その下図ですけれども、え
[00:07:26] 、こちらはですね、え、骨用で平る
[00:07:29] イメージという風に、え、寿止したもの
[00:07:31] です。で、皆さん、ま、ご存知かと思うん
[00:07:34] ですけれども、ホタ街は餌を取ると、ま、
[00:07:37] え、膨らんでその栄養は、え、貝柱で黒に
[00:07:42] もエネルギーとして蓄積されていくという
[00:07:45] 流れになっています。で、え、こう水用に
[00:07:49] なると、ま、夏の間はその餌自体が少なく
[00:07:52] なるっていうことと、あまりにも水温が
[00:07:55] 上がってしまうと、今度はホタ自体が餌を
[00:07:57] 取らなくなってしまうと。その一方で、え
[00:08:00] 、水温が上がると、え、呼吸量が増えてき
[00:08:03] ますので大車量が増加するということで
[00:08:06] エネルギー消費量が大きくなることです。
[00:08:10] そうすると、え、その間、ま、餌も取れ
[00:08:12] ないし、小たはどうするかというと、自分
[00:08:15] の蓄えた、え、栄養を使っていくしかない
[00:08:18] んですけれども、まずはここに次あるよう
[00:08:20] に黒の方から蓄えたエネルギーを使って
[00:08:24] いくそうです。で、それを使い終わった後
[00:08:26] はその貝柱に貯めたエネルギーを使って
[00:08:29] いくということで、え、それが、ま、
[00:08:32] エネルギーが残ってる間はそれを消費して
[00:08:34] なんとかきれているという状態になって
[00:08:37] いるという話です。ただそれが限動を超え
[00:08:40] てしまいますとさすがに、ま、体を維持
[00:08:43] するエネルギーが切れてしまうことで最後
[00:08:45] には、え、嫉妬という風に至るというのが
[00:08:48] このイメージを示したものです。
[00:08:52] で、2枚、2枚目ご覧ください。
[00:08:57] ちょっと自我が多くて、え、づらくて教縮
[00:09:00] なんですけれども、え、まず上にお示しし
[00:09:04] た、え、ずっと文書ですけれども、これは
[00:09:07] 無における高速用所の改造策というもの
[00:09:10] です。で、無では古力からコース用に
[00:09:13] 悩まされてきたりして、結構データも揃っ
[00:09:16] ております。で、え、物案最初に大きな
[00:09:19] 兵士あったっていうのが平成22年の時
[00:09:21] らしくて、え、26°以上の水温が1ヶ月
[00:09:25] 以上も続いた状況だったそうです。で、
[00:09:28] この時は、え、ホ立が7割ほどもう停止し
[00:09:31] てしまうという状況に見われまして、これ
[00:09:34] じゃいかんということで、え、考え出され
[00:09:36] た対応策がこちらに、え、書いてある文章
[00:09:39] となっております。で、え、これらの対応
[00:09:43] 策あと21の方にも、え、リアルタイムに
[00:09:47] ですね、え、推進の水をするっていうのが
[00:09:51] いくつも設置されているんですけれども、
[00:09:53] そういったシステムを活用しながら、え、
[00:09:57] 経済まで食作業進めてるそうなんです
[00:09:59] けれども、え、平成24年で平成25年、
[00:10:04] この時もその22年と同じレベルの交数に
[00:10:07] 見回れたそうですが、え、この時の指率は
[00:10:10] 大で、ま、20%前後という風に兵子率を
[00:10:14] 下げることがこの時は可能でした。ただ
[00:10:17] ですね、近年は、ま、ニュースなどでも
[00:10:21] 全国ニュースでもよく上がっております
[00:10:22] けれども、さらに、え、この人の想像か
[00:10:27] 上行く交水にまれてる状況で、え、かなり
[00:10:31] 、え、業職業者の方々も駆慮されていると
[00:10:34] いう話でした。で、その下がですね、ま、
[00:10:38] 本題になるんですけれども、え、平成、あ
[00:10:41] 、平成じゃねえや、令和7年とのгіい内
[00:10:46] における水運対応ということで、え、整理
[00:10:49] したものです。で、各浜回って聞き取り
[00:10:53] なんかしたり、あと調況を見て、ええ、
[00:10:55] 調べたのなんかが含まれてるんですけれど
[00:10:57] も、え、昨年度も長い期間、え、今回の
[00:11:01] ことはそう水に思われたんですけれども、
[00:11:04] まずですね、え、そん中でも違いを殺さ
[00:11:08] なかったっていう人がありまして、そう
[00:11:09] いう人の話を聞くとやはり、え、その、ま
[00:11:13] 、自分の手持ちのかの出合っていうのも
[00:11:15] ありまして、え、あまり洗い目のこのしか
[00:11:19] 持ってないとなると違いとはある程度成長
[00:11:22] してからじゃないと手をかけられないので
[00:11:24] 、え、最近海に使わっているという状況
